aX,aY,aZ,gX,gY,gZ
-0.461,-2.245,-0.789,-29.053,-60.486,275.757
-0.824,-2.268,-0.605,17.944,-70.435,345.154
-1.163,-2.106,-0.416,74.097,-70.007,430.969
-1.458,-1.669,-0.273,132.935,-67.322,524.109
-1.784,-1.105,-0.169,187.256,-67.017,600.891
-1.845,-0.579,-0.076,224.976,-69.153,646.790
-1.911,0.106,0.077,236.511,-88.379,673.523
-1.926,0.959,0.190,233.276,-108.765,701.660
-1.895,1.732,0.145,233.582,-103.638,713.135
-1.501,2.135,-0.092,235.535,-79.651,670.837
-1.566,2.283,-0.094,224.365,-64.270,569.824
-1.419,2.290,-0.169,189.392,-56.458,447.998
-1.433,2.173,-0.163,126.282,-50.903,348.083
-1.605,2.114,-0.200,60.608,-41.382,292.175
-1.551,2.096,-0.285,24.597,-30.029,252.258
-1.586,2.048,-0.246,31.006,-32.715,220.398
-1.538,2.117,-0.206,51.147,-30.151,200.989
-1.466,2.275,-0.177,64.209,-24.719,185.364
-1.381,2.441,-0.171,67.566,-16.602,163.269
-1.286,2.521,-0.182,67.688,-5.859,131.042
-1.264,2.487,-0.209,67.810,7.202,91.431
0.300,0.252,-0.212,56.946,44.861,-280.090
0.358,0.156,-0.186,42.297,32.898,-270.020
0.407,0.063,-0.142,26.794,21.667,-258.484
0.465,-0.002,-0.080,11.169,11.047,-245.300
0.502,-0.054,-0.036,-3.479,3.662,-229.065
0.526,-0.096,-0.016,-14.893,3.479,-213.257
0.563,-0.138,-0.019,-20.203,6.287,-201.965
0.567,-0.195,-0.022,-17.578,7.385,-193.848
0.570,-0.285,-0.013,-10.559,7.141,-187.683
0.599,-0.409,0.002,-5.188,3.052,-182.617
0.625,-0.527,0.041,-5.493,-2.991,-174.805
0.620,-0.627,0.088,-14.099,-7.507,-161.743
0.635,-0.710,0.142,-28.259,-11.597,-145.691
0.635,-0.775,0.227,-42.664,-19.165,-128.845
0.612,-0.836,0.333,-54.565,-28.198,-110.962
0.600,-0.905,0.445,-61.340,-34.790,-93.079
0.577,-0.966,0.565,-61.829,-37.048,-76.660
0.504,-1.055,0.700,-58.472,-33.997,-59.631
0.470,-1.163,0.824,-54.626,-25.635,-39.551
0.421,-1.258,0.904,-55.054,-14.709,-16.541
0.414,-1.359,0.974,-57.678,-0.183,9.399
0.411,-1.463,1.047,-59.509,15.320,43.152
0.561,-1.719,1.202,-57.129,37.048,88.013
0.058,-1.538,1.302,-24.109,79.956,161.621
0.088,-1.359,1.138,20.203,119.812,221.680
0.038,-1.146,0.957,47.241,150.330,260.010
-0.115,-1.012,0.784,55.420,174.927,287.415
-0.305,-0.968,0.641,55.664,194.275,310.974
-0.533,-0.945,0.487,50.598,207.458,337.036
-0.723,-0.817,0.297,45.410,216.125,369.629
-0.898,-0.535,0.115,47.668,216.431,414.551
