aX,aY,aZ,gX,gY,gZ
0.043,0.060,-0.545,-117.310,-81.482,48.096
-0.078,-0.080,-0.573,-188.354,-98.267,57.251
-0.113,-0.221,-0.641,-266.968,-114.441,70.435
-0.220,-0.358,-0.665,-341.980,-135.559,91.797
-0.366,-0.486,-0.652,-398.682,-160.278,120.422
-0.400,-0.630,-0.581,-415.283,-186.951,156.982
-0.503,-0.786,-0.310,-359.863,-216.675,199.524
-0.715,-0.849,0.155,-226.929,-237.366,247.498
-0.915,-0.795,0.611,-54.626,-235.718,312.622
-1.027,-0.586,0.937,106.628,-205.322,395.691
-1.063,-0.232,1.082,224.365,-151.062,473.694
-1.115,0.213,1.084,287.659,-94.727,526.062
-1.174,0.635,1.005,306.335,-52.979,553.528
-1.196,0.996,0.860,294.800,-25.452,556.091
-1.182,1.271,0.723,270.569,-10.132,530.151
-1.156,1.436,0.625,245.667,-10.620,476.746
-1.133,1.535,0.571,224.243,-24.109,403.198
-1.126,1.549,0.608,205.994,-45.837,329.651
-1.141,1.454,0.712,182.251,-69.092,272.583
-1.204,1.388,0.808,143.188,-80.872,234.009
-1.228,1.372,0.842,98.938,-78.003,209.045
-1.240,1.359,0.842,68.604,-68.909,189.453
-1.282,1.321,0.846,60.364,-58.105,168.579
-1.352,1.281,0.858,66.101,-46.936,149.109
-1.437,1.267,0.883,72.021,-37.903,136.475
-1.509,1.314,0.892,69.702,-30.945,133.545
-1.565,1.444,0.881,61.707,-23.071,136.230
-1.668,1.639,0.887,54.626,-17.151,137.695
-1.761,1.846,0.897,50.842,-13.916,133.545
-1.818,2.052,0.906,53.894,-10.010,122.620
-1.845,2.214,0.922,66.223,-3.723,104.614
-1.851,2.310,0.933,83.923,5.554,77.942
-1.855,2.348,0.934,99.121,17.212,44.373
-1.850,2.346,0.900,106.689,33.325,5.920
-1.828,2.293,0.821,105.835,50.659,-34.912
-1.803,2.193,0.738,98.694,63.599,-73.425
-1.801,2.080,0.659,86.792,70.557,-109.192
-1.790,1.984,0.586,70.740,72.266,-141.052
-1.780,1.898,0.517,54.810,69.763,-167.236
-1.757,1.800,0.469,42.847,63.965,-190.918
-1.704,1.675,0.445,32.593,54.138,-214.355
-1.675,1.547,0.470,21.301,42.175,-236.755
-1.637,1.459,0.514,5.737,31.372,-255.920
-1.622,1.453,0.580,-11.597,20.813,-269.714
-1.593,1.513,0.647,-26.917,12.512,-278.137
-1.558,1.580,0.720,-35.339,7.446,-287.659
-1.507,1.599,0.805,-38.574,5.798,-305.603
-1.494,1.598,0.893,-41.016,10.132,-330.627
-1.531,1.592,0.961,-45.654,20.874,-358.032
-1.515,1.545,0.984,-51.208,35.217,-385.803
-1.505,1.485,0.998,-55.359,50.476,-416.504
-1.507,1.386,0.986,-57.922,65.247,-447.937
-1.495,1.228,0.935,-60.303,80.566,-478.760
-1.492,1.062,0.870,-61.646,96.436,-508.362
-1.479,0.892,0.802,-61.646,108.215,-535.583
-1.445,0.703,0.716,-61.768,114.624,-556.335
-1.367,0.512,0.677,-64.941,119.690,-570.679
-1.284,0.295,0.703,-75.867,116.699,-578.979
-1.179,0.046,0.742,-101.563,108.521,-582.397
-1.071,-0.195,0.760,-143.921,105.408,-582.092
-0.921,-0.430,0.716,-198.425,106.567,-580.627
-0.754,-0.648,0.639,-252.441,105.896,-577.087
-0.584,-0.861,0.555,-296.082,100.342,-568.420
-0.429,-1.076,0.509,-321.777,89.172,-552.429
-0.268,-1.323,0.499,-329.041,73.792,-527.588
-0.070,-1.545,0.522,-322.876,58.594,-491.089
0.154,-1.768,0.538,-309.387,50.293,-438.171
0.266,-1.843,0.529,-277.161,54.565,-368.713
0.315,-1.800,0.479,-207.581,65.186,-283.386
0.389,-1.675,0.371,-120.178,77.759,-195.007
0.505,-1.491,0.208,-45.044,89.111,-122.559
0.591,-1.267,0.028,2.197,95.398,-71.655
0.635,-1.021,-0.121,33.997,92.346,-36.499
0.616,-0.815,-0.190,61.646,77.881,-11.169
0.616,-0.638,-0.193,77.759,56.335,5.798
0.643,-0.473,-0.157,80.078,35.400,18.555
0.667,-0.305,-0.110,69.397,19.897,26.672
0.698,-0.173,-0.067,51.819,11.414,27.222
0.752,-0.102,-0.049,31.616,6.348,17.700
0.795,-0.088,-0.048,11.292,5.310,-0.305
0.806,-0.126,-0.062,-7.568,6.714,-19.592
0.806,-0.194,-0.102,-23.071,9.277,-32.288
0.790,-0.246,-0.149,-32.104,10.376,-35.095
0.793,-0.273,-0.188,-30.884,7.080,-30.823
0.808,-0.268,-0.195,-18.738,-0.916,-21.851
0.813,-0.222,-0.168,0.183,-9.888,-9.399
0.835,-0.151,-0.114,21.240,-15.869,2.869
0.844,-0.073,-0.065,38.635,-16.235,13.000
0.859,-0.009,-0.041,47.852,-10.925,18.066
0.870,0.021,-0.040,49.011,-4.211,18.372
0.876,0.022,-0.060,43.579,2.380,15.564
0.888,0.013,-0.096,33.447,8.301,12.329
0.893,0.001,-0.128,21.362,11.475,11.963
0.884,0.006,-0.135,10.071,11.108,15.930
0.888,0.028,-0.131,-0.244,8.179,21.484
0.908,0.067,-0.120,-6.592,4.395,26.672
0.914,0.116,-0.096,-8.301,0.427,30.945
0.919,0.150,-0.069,-5.676,-1.770,33.142
0.927,0.176,-0.056,-0.671,0.061,32.776
0.930,0.202,-0.067,5.615,5.493,30.945
0.923,0.215,-0.089,12.573,10.620,28.381
0.925,0.210,-0.119,19.653,13.916,24.475
0.937,0.182,-0.147,25.513,14.709,20.142
0.948,0.154,-0.163,28.381,13.428,16.785
0.944,0.151,-0.176,28.076,10.010,17.151
0.942,0.164,-0.179,26.855,6.531,20.081
0.958,0.176,-0.174,26.611,2.991,22.583
0.372,0.861,-0.123,81.604,10.071,138.672
0.315,0.795,-0.100,83.557,2.747,126.526
0.254,0.740,-0.071,82.458,-5.676,117.920
0.316,0.698,-0.036,73.792,-12.939,113.892
0.326,0.686,0.017,56.702,-22.827,116.516
0.297,0.715,0.071,35.400,-28.625,121.521
0.255,0.778,0.111,14.587,-31.067,127.502
0.250,0.847,0.131,-0.244,-32.837,132.874
0.214,0.902,0.144,-6.165,-33.325,136.963
0.194,0.948,0.138,-4.333,-30.151,138.367
0.170,0.981,0.131,4.700,-26.184,137.756
0.149,1.007,0.131,21.057,-23.926,136.658
0.118,1.043,0.155,39.978,-24.536,136.108
0.080,1.087,0.194,57.617,-28.320,138.306
0.041,1.141,0.240,70.190,-31.799,142.212
0.006,1.206,0.275,76.721,-32.776,145.874
0.010,1.284,0.283,78.430,-31.189,145.081
-0.045,1.340,0.279,80.200,-28.992,139.587
-0.084,1.382,0.268,83.130,-22.461,125.183
-0.115,1.398,0.235,85.632,-11.169,101.074
-0.124,1.323,0.200,85.083,-3.235,70.007
-0.141,1.174,0.170,74.768,0.671,35.828
-0.183,0.966,0.092,47.852,4.883,4.639
-0.272,0.745,-0.021,6.592,11.353,-21.057
-0.246,0.487,-0.221,-48.096,14.832,-41.138
-0.247,0.140,-0.408,-115.295,8.179,-55.420
-0.152,-0.267,-0.578,-194.824,-7.568,-64.392
-0.172,-0.638,-0.679,-282.288,-39.001,-58.899
-0.250,-0.991,-0.699,-360.352,-82.947,-29.358
-0.313,-1.244,-0.602,-401.794,-126.648,22.583
-0.395,-1.433,-0.330,-381.714,-164.062,96.191
